1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
36 69 100 129 156 181 204 225 244 261 276 289 300 309 316 321 324 325 324 321 316 309 300 289 276 261 244 225 204 181 156 129 100 69 36 1 37 73 109 145 181 217 253 289 325 361 397 433 469 505 541 577 613 649 685 721 757 793 829 865 901 937 973 1009 1045 1081 1117 1153 1189 1225 1261 1297 1333 1369 1405 1441 1477 1513 1549 1585 1621 1657 1693 1729 1765 1801 1837 1873 1909 1945 1981 2017 2053 2089 2125 2161 2197 2233 2269 2305 
37 71 103 133 161 187 211 233 253 271 287 301 313 323 331 337 341 343 343 341 337 331 323 313 301 287 271 253 233 211 187 161 133 103 71 37 1 38 75 112 149 186 223 260 297 334 371 408 445 482 519 556 593 630 667 704 741 778 815 852 889 926 963 1000 1037 1074 1111 1148 1185 1222 1259 1296 1333 1370 1407 1444 1481 1518 1555 1592 1629 1666 1703 1740 1777 1814 1851 1888 1925 1962 1999 2036 2073 2110 2147 2184 2221 2258 2295 2332 
38 73 106 137 166 193 218 241 262 281 298 313 326 337 346 353 358 361 362 361 358 353 346 337 326 313 298 281 262 241 218 193 166 137 106 73 38 1 39 77 115 153 191 229 267 305 343 381 419 457 495 533 571 609 647 685 723 761 799 837 875 913 951 989 1027 1065 1103 1141 1179 1217 1255 1293 1331 1369 1407 1445 1483 1521 1559 1597 1635 1673 1711 1749 1787 1825 1863 1901 1939 1977 2015 2053 2091 2129 2167 2205 2243 2281 2319 2357 
39 75 109 141 171 199 225 249 271 291 309 325 339 351 361 369 375 379 381 381 379 375 369 361 351 339 325 309 291 271 249 225 199 171 141 109 75 39 1 40 79 118 157 196 235 274 313 352 391 430 469 508 547 586 625 664 703 742 781 820 859 898 937 976 1015 1054 1093 1132 1171 1210 1249 1288 1327 1366 1405 1444 1483 1522 1561 1600 1639 1678 1717 1756 1795 1834 1873 1912 1951 1990 2029 2068 2107 2146 2185 2224 2263 2302 2341 2380 
40 77 112 145 176 205 232 257 280 301 320 337 352 365 376 385 392 397 400 401 400 397 392 385 376 365 352 337 320 301 280 257 232 205 176 145 112 77 40 1 41 81 121 161 201 241 281 321 361 401 441 481 521 561 601 641 681 721 761 801 841 881 921 961 1001 1041 1081 1121 1161 1201 1241 1281 1321 1361 1401 1441 1481 1521 1561 1601 1641 1681 1721 1761 1801 1841 1881 1921 1961 2001 2041 2081 2121 2161 2201 2241 2281 2321 2361 2401 
41 79 115 149 181 211 239 265 289 311 331 349 365 379 391 401 409 415 419 421 421 419 415 409 401 391 379 365 349 331 311 289 265 239 211 181 149 115 79 41 1 42 83 124 165 206 247 288 329 370 411 452 493 534 575 616 657 698 739 780 821 862 903 944 985 1026 1067 1108 1149 1190 1231 1272 1313 1354 1395 1436 1477 1518 1559 1600 1641 1682 1723 1764 1805 1846 1887 1928 1969 2010 2051 2092 2133 2174 2215 2256 2297 2338 2379 2420 
42 81 118 153 186 217 246 273 298 321 342 361 378 393 406 417 426 433 438 441 442 441 438 433 426 417 406 393 378 361 342 321 298 273 246 217 186 153 118 81 42 1 43 85 127 169 211 253 295 337 379 421 463 505 547 589 631 673 715 757 799 841 883 925 967 1009 1051 1093 1135 1177 1219 1261 1303 1345 1387 1429 1471 1513 1555 1597 1639 1681 1723 1765 1807 1849 1891 1933 1975 2017 2059 2101 2143 2185 2227 2269 2311 2353 2395 2437 
43 83 121 157 191 223 253 281 307 331 353 373 391 407 421 433 443 451 457 461 463 463 461 457 451 443 433 421 407 391 373 353 331 307 281 253 223 191 157 121 83 43 1 44 87 130 173 216 259 302 345 388 431 474 517 560 603 646 689 732 775 818 861 904 947 990 1033 1076 1119 1162 1205 1248 1291 1334 1377 1420 1463 1506 1549 1592 1635 1678 1721 1764 1807 1850 1893 1936 1979 2022 2065 2108 2151 2194 2237 2280 2323 2366 2409 2452 
44 85 124 161 196 229 260 289 316 341 364 385 404 421 436 449 460 469 476 481 484 485 484 481 476 469 460 449 436 421 404 385 364 341 316 289 260 229 196 161 124 85 44 1 45 89 133 177 221 265 309 353 397 441 485 529 573 617 661 705 749 793 837 881 925 969 1013 1057 1101 1145 1189 1233 1277 1321 1365 1409 1453 1497 1541 1585 1629 1673 1717 1761 1805 1849 1893 1937 1981 2025 2069 2113 2157 2201 2245 2289 2333 2377 2421 2465 
45 87 127 165 201 235 267 297 325 351 375 397 417 435 451 465 477 487 495 501 505 507 507 505 501 495 487 477 465 451 435 417 397 375 351 325 297 267 235 201 165 127 87 45 1 46 91 136 181 226 271 316 361 406 451 496 541 586 631 676 721 766 811 856 901 946 991 1036 1081 1126 1171 1216 1261 1306 1351 1396 1441 1486 1531 1576 1621 1666 1711 1756 1801 1846 1891 1936 1981 2026 2071 2116 2161 2206 2251 2296 2341 2386 2431 2476 
